date;well_id;drilling_depth;drilling_speed;well_temperature;drilling_success;daily_oil_production;daily_gas_production
13/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2110.52 feet;56.08 feet/hour;99.21 °C;0;1499.413 barrels/day;1767.251 cubic feet/day
14/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2768.49 feet;53.12 feet/hour;60.13 °C;1;nan barrels/day;2036.322 cubic feet/day
15/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4202.21 feet;48.42 feet/hour;141.57 °C;1;2881.635 barrels/day;3212.582 cubic feet/day
16/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5688.14 feet;56.35 feet/hour;89.73 °C;0;3665.444 barrels/day;3632.293 cubic feet/day
17/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7437.85 feet;55.42 feet/hour;263.48 °C;0;4711.683 barrels/day;4472.897 cubic feet/day
18/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5477.83 feet;66.61 feet/hour;133.46 °C;1;3668.841 barrels/day;3984.231 cubic feet/day
19/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7244.64 feet;62.29 feet/hour;104.76 °C;1;4705.764 barrels/day;5012.526 cubic feet/day
20/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6385.39 feet;79.53 feet/hour;106.37 °C;0;4093.18 barrels/day;4400.99 cubic feet/day
21/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4207.27 feet;49.06 feet/hour;35.4 °C;1;2891.397 barrels/day;2941.359 cubic feet/day
22/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7385.37 feet;58.47 feet/hour;137.65 °C;1;4799.82 barrels/day;5149.246 cubic feet/day
23/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2010.88 feet;58.99 feet/hour;65.79 °C;1;1553.798 barrels/day;1596.984 cubic feet/day
24/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7411.31 feet;56.82 feet/hour;152.58 °C;0;4694.821 barrels/day;5023.69 cubic feet/day
25/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3889.49 feet;42.6 feet/hour;171.56 °C;1;2676.947 barrels/day;3085.244 cubic feet/day
26/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7292.1 feet;75.44 feet/hour;244.13 °C;1;nan barrels/day;4568.645 cubic feet/day
27/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3413.84 feet;52.41 feet/hour;131.75 °C;1;2402.476 barrels/day;2719.179 cubic feet/day
28/02/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8515.83 feet;61.31 feet/hour;47.59 °C;1;5486.753 barrels/day;5536.93 cubic feet/day
01/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3364.87 feet;67.38 feet/hour;270.66 °C;1;2379.051 barrels/day;2182.801 cubic feet/day
02/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8570.03 feet;63.48 feet/hour;261.24 °C;0;5407.713 barrels/day;5191.957 cubic feet/day
03/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2658.42 feet;70.33 feet/hour;108.3 °C;0;1853.961 barrels/day;2141.238 cubic feet/day
04/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5380.87 feet;48.42 feet/hour;254.88 °C;1;3584.84 barrels/day;3384.838 cubic feet/day
05/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8867.25 feet;46.5 feet/hour;54.66 °C;1;5659.068 barrels/day;5718.312 cubic feet/day
06/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6733.44 feet;47.55 feet/hour;186.96 °C;1;4366.134 barrels/day;4811.052 cubic feet/day
07/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6999.03 feet;45.88 feet/hour;79.46 °C;1;4564.305 barrels/day;4561.484 cubic feet/day
08/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9091.54 feet;58.82 feet/hour;118.67 °C;1;5815.418 barrels/day;6121.41 cubic feet/day
09/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3665.07 feet;57.27 feet/hour;63.19 °C;1;2562.145 barrels/day;2600.274 cubic feet/day
10/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3251.87 feet;74.4 feet/hour;21.39 °C;1;2319.096 barrels/day;2417.695 cubic feet/day
11/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3032.73 feet;53.77 feet/hour;71.65 °C;1;2193.961 barrels/day;2207.237 cubic feet/day
12/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7677.32 feet;49.5 feet/hour;131.88 °C;0;4853.218 barrels/day;5166.312 cubic feet/day
13/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4316.97 feet;50.5 feet/hour;183.98 °C;1;2951.088 barrels/day;3372.93 cubic feet/day
14/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3837.45 feet;52.99 feet/hour;206.97 °C;0;2521.597 barrels/day;2387.594 cubic feet/day
15/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7234.06 feet;79.39 feet/hour;263.51 °C;0;4619.731 barrels/day;4394.627 cubic feet/day
16/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5430.97 feet;74.52 feet/hour;250.63 °C;1;3662.287 barrels/day;3466.381 cubic feet/day
17/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9161.33 feet;79.86 feet/hour;178.7 °C;1;5880.668 barrels/day;6287.507 cubic feet/day
18/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9495.31 feet;66.28 feet/hour;162.57 °C;0;5927.45 barrels/day;6316.958 cubic feet/day
19/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3092.37 feet;78.72 feet/hour;205.9 °C;0;2133.264 barrels/day;2002.091 cubic feet/day
20/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4208.15 feet;72.44 feet/hour;255.58 °C;1;2886.034 barrels/day;2707.904 cubic feet/day
21/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4248.33 feet;62.11 feet/hour;49.73 °C;0;2790.816 barrels/day;2829.954 cubic feet/day
22/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8458.99 feet;49.9 feet/hour;131.07 °C;2;5419.626 barrels/day;5764.385 cubic feet/day
23/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2046.59 feet;69.56 feet/hour;41.07 °C;0;1477.68 barrels/day;1540.879 cubic feet/day
24/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7773.38 feet;69.49 feet/hour;134.0 °C;0;4936.826 barrels/day;5235.381 cubic feet/day
25/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2143.36 feet;69.64 feet/hour;45.05 °C;1;1682.464 barrels/day;1692.052 cubic feet/day
26/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3789.9 feet;58.97 feet/hour;248.98 °C;1;2623.598 barrels/day;2459.28 cubic feet/day
27/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4731.46 feet;50.88 feet/hour;111.92 °C;1;3192.331 barrels/day;3481.984 cubic feet/day
28/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2480.08 feet;75.77 feet/hour;52.04 °C;1;1886.917 barrels/day;1922.732 cubic feet/day
29/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6479.39 feet;56.58 feet/hour;127.5 °C;1;4223.156 barrels/day;4550.258 cubic feet/day
30/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9125.02 feet;74.27 feet/hour;125.99 °C;1;5864.825 barrels/day;6190.702 cubic feet/day
31/03/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9462.13 feet;72.71 feet/hour;205.75 °C;2;6061.917 barrels/day;5904.829 cubic feet/day
01/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6886.93 feet;62.42 feet/hour;67.76 °C;0;nan barrels/day;4379.921 cubic feet/day
02/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9463.39 feet;43.68 feet/hour;193.55 °C;0;5910.224 barrels/day;6329.772 cubic feet/day
03/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8496.48 feet;43.4 feet/hour;90.67 °C;0;5307.532 barrels/day;5305.836 cubic feet/day
04/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9190.35 feet;75.75 feet/hour;169.4 °C;1;5907.274 barrels/day;6298.225 cubic feet/day
05/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5352.4 feet;78.46 feet/hour;25.44 °C;0;3483.07 barrels/day;3543.321 cubic feet/day
06/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4029.34 feet;77.21 feet/hour;203.03 °C;1;2820.806 barrels/day;2669.012 cubic feet/day
07/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4871.33 feet;61.88 feet/hour;26.82 °C;0;3161.036 barrels/day;3220.787 cubic feet/day
08/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5148.98 feet;56.89 feet/hour;43.59 °C;1;3462.662 barrels/day;3506.974 cubic feet/day
09/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2322.32 feet;51.8 feet/hour;32.27 °C;0;1622.477 barrels/day;1697.542 cubic feet/day
10/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7147.33 feet;45.64 feet/hour;136.03 °C;1;4650.783 barrels/day;4979.411 cubic feet/day
11/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4796.66 feet;71.65 feet/hour;160.75 °C;0;nan barrels/day;3524.852 cubic feet/day
12/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7799.07 feet;75.33 feet/hour;167.56 °C;1;5068.778 barrels/day;5466.913 cubic feet/day
13/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6642.65 feet;40.35 feet/hour;120.7 °C;0;4211.037 barrels/day;4519.408 cubic feet/day
14/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6089.6 feet;51.48 feet/hour;190.11 °C;0;3861.463 barrels/day;4329.667 cubic feet/day
15/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7642.26 feet;70.98 feet/hour;28.45 °C;1;4977.739 barrels/day;5031.728 cubic feet/day
16/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3507.89 feet;72.03 feet/hour;212.41 °C;0;2371.58 barrels/day;2204.849 cubic feet/day
17/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8686.44 feet;47.54 feet/hour;237.78 °C;1;5580.705 barrels/day;5375.047 cubic feet/day
18/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6812.23 feet;40.39 feet/hour;205.76 °C;0;4320.494 barrels/day;4166.162 cubic feet/day
19/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7966.33 feet;71.73 feet/hour;100.99 °C;2;5048.093 barrels/day;5324.292 cubic feet/day
20/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5153.1 feet;41.42 feet/hour;216.71 °C;1;3432.487 barrels/day;3292.759 cubic feet/day
21/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5834.64 feet;45.12 feet/hour;43.83 °C;1;3852.193 barrels/day;3886.134 cubic feet/day
22/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2241.15 feet;42.94 feet/hour;205.14 °C;1;1668.412 barrels/day;1544.144 cubic feet/day
23/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3354.19 feet;42.31 feet/hour;104.56 °C;1;2367.475 barrels/day;2603.313 cubic feet/day
24/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6507.15 feet;48.98 feet/hour;278.98 °C;1;4260.614 barrels/day;4036.27 cubic feet/day
25/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5431.04 feet;54.84 feet/hour;64.63 °C;0;3507.483 barrels/day;3529.074 cubic feet/day
26/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7464.1 feet;57.89 feet/hour;193.22 °C;1;4826.183 barrels/day;5292.468 cubic feet/day
27/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6439.7 feet;67.81 feet/hour;140.26 °C;1;4233.47 barrels/day;4560.254 cubic feet/day
28/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3923.19 feet;56.95 feet/hour;162.27 °C;1;2713.904 barrels/day;3065.439 cubic feet/day
29/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5314.46 feet;72.34 feet/hour;23.52 °C;1;3570.095 barrels/day;3657.063 cubic feet/day
30/04/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9168.9 feet;74.52 feet/hour;220.9 °C;0;5748.287 barrels/day;5606.056 cubic feet/day
01/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5170.91 feet;62.5 feet/hour;128.67 °C;0;3321.899 barrels/day;3677.1 cubic feet/day
02/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7273.89 feet;60.6 feet/hour;277.63 °C;2;4727.05 barrels/day;4510.049 cubic feet/day
03/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7160.91 feet;68.39 feet/hour;35.49 °C;0;4564.098 barrels/day;4620.261 cubic feet/day
04/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2823.58 feet;63.09 feet/hour;173.27 °C;1;nan barrels/day;2455.958 cubic feet/day
05/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3068.53 feet;49.86 feet/hour;98.34 °C;1;2209.769 barrels/day;2456.393 cubic feet/day
06/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4657.14 feet;70.92 feet/hour;206.88 °C;1;3195.69 barrels/day;3044.661 cubic feet/day
07/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8429.82 feet;49.41 feet/hour;199.25 °C;0;nan barrels/day;5150.905 cubic feet/day
08/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6438.95 feet;70.58 feet/hour;266.52 °C;1;4257.756 barrels/day;4008.786 cubic feet/day
09/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3848.26 feet;74.38 feet/hour;129.0 °C;1;2697.728 barrels/day;3035.895 cubic feet/day
10/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6750.81 feet;78.75 feet/hour;265.1 °C;0;4313.682 barrels/day;4124.69 cubic feet/day
11/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8218.13 feet;77.11 feet/hour;103.74 °C;1;5326.285 barrels/day;5602.222 cubic feet/day
12/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4220.85 feet;55.59 feet/hour;241.64 °C;1;2886.673 barrels/day;2721.753 cubic feet/day
13/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2810.47 feet;52.12 feet/hour;88.44 °C;0;1915.224 barrels/day;1911.039 cubic feet/day
14/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7238.93 feet;56.89 feet/hour;68.63 °C;1;4705.603 barrels/day;4709.835 cubic feet/day
15/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7037.5 feet;52.8 feet/hour;264.58 °C;0;4469.894 barrels/day;4240.93 cubic feet/day
16/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6717.09 feet;72.17 feet/hour;260.04 °C;1;4432.034 barrels/day;4214.806 cubic feet/day
17/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8020.49 feet;73.71 feet/hour;121.56 °C;1;5175.479 barrels/day;5515.862 cubic feet/day
18/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5581.28 feet;67.98 feet/hour;47.73 °C;1;3725.307 barrels/day;3766.949 cubic feet/day
19/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4413.44 feet;76.43 feet/hour;174.25 °C;0;2914.213 barrels/day;3323.933 cubic feet/day
20/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2971.34 feet;52.8 feet/hour;94.98 °C;1;2136.203 barrels/day;2139.484 cubic feet/day
21/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9462.13 feet;77.31 feet/hour;77.83 °C;1;6084.087 barrels/day;6093.527 cubic feet/day
22/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5576.59 feet;43.6 feet/hour;97.29 °C;1;3704.582 barrels/day;3970.651 cubic feet/day
23/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3675.77 feet;73.16 feet/hour;157.54 °C;1;2563.634 barrels/day;2952.622 cubic feet/day
24/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7719.14 feet;61.08 feet/hour;157.75 °C;1;4994.411 barrels/day;5356.175 cubic feet/day
25/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6024.54 feet;46.5 feet/hour;224.59 °C;0;3840.731 barrels/day;3686.001 cubic feet/day
26/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6380.7 feet;48.6 feet/hour;103.41 °C;0;4034.852 barrels/day;4332.573 cubic feet/day
27/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5123.85 feet;41.51 feet/hour;233.18 °C;0;3303.357 barrels/day;3127.263 cubic feet/day
28/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5350.76 feet;45.26 feet/hour;111.34 °C;1;3571.668 barrels/day;3852.396 cubic feet/day
29/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4822.22 feet;41.65 feet/hour;230.35 °C;1;3205.493 barrels/day;3081.127 cubic feet/day
30/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6532.95 feet;74.05 feet/hour;143.06 °C;1;4321.406 barrels/day;4654.102 cubic feet/day
31/05/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2395.32 feet;71.45 feet/hour;264.36 °C;0;1685.286 barrels/day;1496.19 cubic feet/day
01/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7328.12 feet;49.48 feet/hour;142.04 °C;2;nan barrels/day;5108.525 cubic feet/day
02/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6808.22 feet;53.42 feet/hour;262.6 °C;1;4432.031 barrels/day;4234.644 cubic feet/day
03/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6190.77 feet;72.06 feet/hour;85.82 °C;0;3991.524 barrels/day;3983.351 cubic feet/day
04/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3810.07 feet;61.73 feet/hour;164.01 °C;1;2654.215 barrels/day;3039.024 cubic feet/day
05/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3862.92 feet;48.46 feet/hour;54.15 °C;0;2538.681 barrels/day;2581.972 cubic feet/day
06/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2919.56 feet;47.17 feet/hour;227.74 °C;2;2109.524 barrels/day;1943.036 cubic feet/day
07/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9317.67 feet;67.93 feet/hour;218.23 °C;2;5832.039 barrels/day;5676.095 cubic feet/day
08/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5523.67 feet;62.05 feet/hour;213.05 °C;1;3693.321 barrels/day;3533.948 cubic feet/day
09/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2553.58 feet;74.07 feet/hour;275.07 °C;1;1930.144 barrels/day;1696.648 cubic feet/day
10/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6245.84 feet;71.07 feet/hour;128.11 °C;1;4130.802 barrels/day;4452.068 cubic feet/day
11/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5087.28 feet;71.01 feet/hour;219.43 °C;1;3432.772 barrels/day;3258.943 cubic feet/day
12/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4033.6 feet;76.41 feet/hour;104.83 °C;1;2823.525 barrels/day;3096.88 cubic feet/day
13/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7180.96 feet;68.74 feet/hour;216.71 °C;1;nan barrels/day;4518.128 cubic feet/day
14/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5948.18 feet;64.28 feet/hour;151.33 °C;1;3932.435 barrels/day;4295.356 cubic feet/day
