Date,symbol,open,close,high,low,volume
2013-08-05,btcusd,96.38,97.4,98.91,96.21,2944.54669789999
2013-08-06,btcusd,97.73,97.8,98.9,97.0,2531.28944375
2013-08-07,btcusd,97.8,97.0,98.3,95.5,1576.176273
2013-08-08,btcusd,97.0,94.25,97.17,91.4,4701.13478028
2013-08-09,btcusd,94.27,92.28,95.51,89.51,5799.07629595998
2013-08-10,btcusd,92.14,93.51,94.0,92.14,754.8018569
2013-08-11,btcusd,93.51,94.0,94.52,93.2,703.22305316
2013-08-12,btcusd,94.0,95.35,96.24,93.31,2950.84243716999
2013-08-13,btcusd,95.12109,98.15,98.2,94.23,3644.09122657
2013-08-14,btcusd,97.99,99.16,101.0,97.36828,7832.14442446
2013-08-15,btcusd,99.4,98.08,100.01,96.24,1749.74382402
2013-08-16,btcusd,98.39,98.3,99.0,96.53,1945.81185098
2013-08-17,btcusd,98.27,99.4,99.7,97.5,1601.91017454
2013-08-18,btcusd,100.0,99.25,100.0,98.42,929.14723601
2013-08-19,btcusd,99.25,102.6,105.0,98.82,7038.31706310001
2013-08-20,btcusd,102.85,104.94,104.94,100.48,3887.65063900999
2013-08-21,btcusd,104.94,110.43,114.45,104.57,9461.08726163004
2013-08-22,btcusd,111.62,109.14,113.01,107.99,4026.72231985
2013-08-23,btcusd,109.12,107.89,110.0,104.3,5316.11409683
2013-08-24,btcusd,107.66,108.3,110.6,106.61,2760.95065165
2013-08-25,btcusd,109.17,113.11,114.76,109.16,5981.71180220001
2013-08-26,btcusd,113.12,112.45,113.9,110.0,4105.75356866
2013-08-27,btcusd,111.85,117.7,119.0,111.77,8861.29718058001
2013-08-28,btcusd,118.0,118.0,119.76,116.0,3508.16170538
2013-08-29,btcusd,117.95,118.5,121.0,117.29,2722.03372053
2013-08-30,btcusd,118.93,125.0,126.3,118.05,9634.03948353002
2013-08-31,btcusd,124.89,127.8,134.94,123.75,12537.83420063
2013-09-01,btcusd,128.21,130.41,132.0,126.81,2117.60762314
2013-09-02,btcusd,130.73,129.45,132.05,128.0,4229.80472060998
2013-09-03,btcusd,129.23,129.18,131.0,126.9,3621.71363355999
2013-09-04,btcusd,130.0,122.24,130.0,115.0,9377.23333298001
2013-09-05,btcusd,122.22,122.63,127.99,115.81,7294.63083097997
2013-09-06,btcusd,122.0,116.82,124.75,115.0,5683.34157264999
2013-09-07,btcusd,116.0,119.76,121.10889,115.5,2899.83061763999
2013-09-08,btcusd,119.79,117.98,120.84,116.77,2707.40051492
2013-09-09,btcusd,118.0,121.5,124.0,115.98561,8252.05121633003
2013-09-10,btcusd,121.17,122.07,124.24,120.07,3626.92833386999
2013-09-11,btcusd,122.34,126.34,127.64,118.39,9078.22123422003
2013-09-12,btcusd,126.92,126.63,128.5,123.0,5161.99913747999
2013-09-13,btcusd,126.63,127.18,129.11,124.82,2524.77115444
2013-09-14,btcusd,126.23,124.5,127.98,122.53,3550.48828070999
2013-09-15,btcusd,124.5,125.06,126.35,123.15,1973.20832033
2013-09-16,btcusd,125.18,125.68,126.84,124.0,1710.23628094
2013-09-17,btcusd,126.15,127.13,127.74,125.32,1790.28239465
2013-09-18,btcusd,126.72,126.9,128.41,125.78,3950.89185976
2013-09-19,btcusd,127.0,124.38,127.63,123.39,3443.87264583
2013-09-20,btcusd,123.8,122.91,126.01,121.5,3838.92105376999
2013-09-21,btcusd,122.92,123.64,124.02,122.0,1023.90288201
2013-09-22,btcusd,123.5,122.97,123.59,122.22,1078.48505357
2013-09-23,btcusd,122.93,122.75,124.09,122.0,2465.01122629
2013-09-24,btcusd,123.0,124.09,124.19,121.89,3165.47374378
2013-09-25,btcusd,123.89,123.75,125.22,123.35,1900.35140246
2013-09-26,btcusd,123.32,125.02,125.02,123.3,1002.22446382
2013-09-27,btcusd,124.4,126.48,126.86,124.1,2578.6923297
2013-09-28,btcusd,126.57,127.0,127.0,124.8,2488.46477039
2013-09-29,btcusd,126.87,126.76,128.8,126.0,3011.13758087
2013-09-30,btcusd,127.0,125.95,127.51,123.76,3072.55201951
2013-10-01,btcusd,125.95,127.49,127.9399,125.81,2151.64918807
2013-10-02,btcusd,127.2,103.85,128.5,83.26,38763.0172714799
2013-10-03,btcusd,103.99,117.87,118.74,101.66,11393.82089187
2013-10-04,btcusd,117.87,121.94,123.25,117.41,6632.39275909002
2013-10-05,btcusd,121.94,121.62,125.0,115.0,1451.61906773
2013-10-06,btcusd,121.14,122.49,122.5,121.01,399.440586
2013-10-07,btcusd,122.26,123.48,124.45,120.8,4205.69134063
2013-10-08,btcusd,123.5,124.11,125.16,122.02,5205.68123215999
2013-10-09,btcusd,124.4,126.00071,127.99,123.36,6494.56802603001
2013-10-10,btcusd,125.67,126.1,126.79,125.0,2321.77150535999
2013-10-11,btcusd,126.46,126.9,127.4,125.54,2177.80246511
2013-10-12,btcusd,126.9,127.8,127.96,126.65,1651.53519078
2013-10-13,btcusd,127.6,132.86,133.23,127.55,6020.83465236
2013-10-14,btcusd,132.6,135.4,139.99,132.0,12310.3421481001
2013-10-15,btcusd,135.47,144.39,150.0,134.09,10815.77840346
2013-10-16,btcusd,144.39,137.56,147.0,137.21,15517.28434985
2013-10-17,btcusd,137.54,143.94,144.98,133.99,5237.28751872
2013-10-18,btcusd,143.49,153.0,155.25,143.0,14115.9018835201
2013-10-19,btcusd,152.89,166.5,178.5,151.5,20875.7260725199
2013-10-20,btcusd,168.0,166.89,168.875,162.31,3857.31917752
2013-10-21,btcusd,166.44,180.37,183.0,166.0,12821.42817668
2013-10-22,btcusd,180.5,191.75,215.0,179.1,18464.69246628
2013-10-23,btcusd,194.5,203.99,212.89,187.0,13848.1826281501
2013-10-24,btcusd,204.5,193.72,210.995,155.81,41374.6601641995
2013-10-25,btcusd,194.0,187.5,195.13,167.75,20163.72357838
2013-10-26,btcusd,186.62,179.55,190.0,175.21,6283.29915677999
2013-10-27,btcusd,179.56,196.7,198.75,179.1,6583.20965814008
2013-10-28,btcusd,196.0,196.01,199.0,192.15,5605.26249360001
2013-10-29,btcusd,196.01,204.69,205.0,195.37,8092.44617620002
2013-10-30,btcusd,203.7,198.74,206.0,195.05,14204.4054380701
2013-10-31,btcusd,198.7,202.52,204.0,195.28,5287.08851334
2013-11-01,btcusd,203.79,201.754999,204.0,200.5,1950.88533844
2013-11-02,btcusd,202.24,204.94,205.79,201.33,4054.66482564999
2013-11-03,btcusd,204.67,213.8975,219.89,203.0,4806.65527203001
2013-11-04,btcusd,213.949,226.5049999,230.5,211.0,11528.7620527202
2013-11-05,btcusd,227.29,242.88,250.75,225.44,23917.3706320101
2013-11-06,btcusd,242.6,263.24,265.0,240.6,27950.6772529572
2013-11-07,btcusd,263.5,291.0,297.79,262.0,35703.8390349999
2013-11-08,btcusd,290.8,333.9,334.95,288.89,22587.4898973999
2013-11-09,btcusd,333.9,338.22941,386.0,297.0,30872.0185769997
2013-11-10,btcusd,339.39,325.0,340.0,265.11,35022.9775918295
2013-11-11,btcusd,322.24,344.27,357.95,311.56,10389.98799285
2013-11-12,btcusd,347.0,354.96,400.0,340.0,13163.9526282
2013-11-13,btcusd,355.45,399.9,414.73,355.45,13150.8551845401
2013-11-14,btcusd,399.89,413.53499,423.5,392.8,14424.4618612601
2013-11-15,btcusd,415.16,412.0,439.94,388.011,17611.6002543102
2013-11-16,btcusd,412.0,434.52,448.95,410.0,9971.61084252013
2013-11-17,btcusd,434.53,492.0,499.99,434.53,9939.60554958022
2013-11-18,btcusd,492.39,689.0,775.0,490.11,22783.1345659296
2013-11-19,btcusd,690.0,537.0,909.0,360.0,36107.292589809
2013-11-20,btcusd,535.01,599.12,630.0,450.01,27939.0919929797
2013-11-21,btcusd,599.12,730.0,745.0,589.9,17157.1255340001
2013-11-22,btcusd,727.0301,806.3,839.77,682.32,12996.9952893601
2013-11-23,btcusd,815.0,847.666666,886.876543,775.0,9697.72957536012
2013-11-24,btcusd,847.5,815.0,860.0,745.0,11931.4688187901
2013-11-25,btcusd,814.16,818.98,844.579,768.0,9443.71409179005
2013-11-26,btcusd,813.14,952.0,960.0,800.0,10075.5972455901
2013-11-27,btcusd,955.01,963.0,969.99,894.0,13045.7822418601
2013-11-28,btcusd,962.01,1016.1,1050.34,945.0,9436.59098362006
2013-11-29,btcusd,1015.79,1132.0,1142.0,999.12,9112.60453110012
2013-11-30,btcusd,1131.0,1119.52,1171.25,1090.0,4977.05940607003
2013-12-01,btcusd,1119.8,955.0,1126.0,780.0,31224.8478054497
2013-12-02,btcusd,950.2601,1037.07,1059.0,936.0,12076.8095723901
2013-12-03,btcusd,1037.11,1055.0,1089.88,1000.0,5606.71756720002
2013-12-04,btcusd,1055.0,1138.5,1175.0,1051.0,6797.52731543003
2013-12-05,btcusd,1135.0,1023.87,1141.0,848.42,23511.6459976001
2013-12-06,btcusd,1029.02,820.0,1032.04,790.0,28781.8713168093
2013-12-07,btcusd,815.0,693.0,842.23,538.0,43628.1692512094
2013-12-08,btcusd,692.99,784.9,790.39,650.0,13381.6509437201
2013-12-09,btcusd,786.0,899.01,901.0,767.21,15615.2399101502
2013-12-10,btcusd,899.94,983.0,992.0,895.0,11644.1100796201
2013-12-11,btcusd,982.9697,879.3,990.0,804.26,15622.9339904401
2013-12-12,btcusd,879.4,873.0,893.97,838.0,8407.60530174005
2013-12-13,btcusd,872.97,885.02,923.71,850.02,9499.23705098
2013-12-14,btcusd,885.1,850.78,888.8970413,840.0,4137.40713281999
2013-12-15,btcusd,854.98,859.71,871.8845,805.0,11388.0131782503
2013-12-16,btcusd,860.33,690.0,864.0,650.9088,28828.6722447098
2013-12-17,btcusd,690.0,675.0,751.0,613.0,24688.82978813
2013-12-18,btcusd,675.0,520.01,679.038754,381.51,80358.8141914289
2013-12-19,btcusd,519.74,684.99,700.0,491.0,37418.6332647902
2013-12-20,btcusd,685.0,609.01,721.0,570.0,26056.0509110787
2013-12-21,btcusd,608.77,595.03,649.0,568.0,12661.2382726203
2013-12-22,btcusd,595.06,614.999,674.39,574.0123,13689.7033129602
2013-12-23,btcusd,612.66,654.76,669.0,608.01,8550.81498574018
2013-12-24,btcusd,654.76,651.83,670.0,627.0,6806.64334295007
2013-12-25,btcusd,653.57,679.5,681.0,635.0,3822.45516959999
2013-12-26,btcusd,680.78,757.3889,764.0,677.0,18161.4852748501
2013-12-27,btcusd,748.48,720.61,763.0,704.0123,11270.5220445601
2013-12-28,btcusd,724.75,712.2,740.01,690.0,10090.2275591001
2013-12-29,btcusd,715.01,728.3,732.0,700.0123,6131.65568200999
2013-12-30,btcusd,726.82,736.5,740.62618,724.73,4234.64065429001
2013-12-31,btcusd,735.5,729.99,740.0,710.02,8561.28944057009
2014-01-01,btcusd,730.24,754.22,757.0,730.24,5883.99695487001
2014-01-02,btcusd,751.88,784.34,800.0,742.52,9584.91453353008
2014-01-03,btcusd,784.12,807.0,818.99,768.0,10253.8877436401
2014-01-04,btcusd,808.5,829.0,830.4,791.04,10768.5978873301
2014-01-05,btcusd,829.9,905.36,939.8,825.0,18946.6570916099
2014-01-06,btcusd,905.0,919.24,995.0,875.181,21038.6254868698
2014-01-07,btcusd,915.7,781.0,943.15,781.0,25356.8406498093
2014-01-08,btcusd,785.01,824.89,849.0,765.0,20372.53172769
2014-01-09,btcusd,824.89,826.2,846.35,779.99,15871.6025231103
2014-01-10,btcusd,825.5,853.02,860.64,799.98,8011.79336830005
2014-01-11,btcusd,850.0,896.59,915.0,848.0,10520.5960713802
2014-01-12,btcusd,898.5,842.1,906.0,824.45143,10376.8434369101
2014-01-13,btcusd,842.01,824.5,844.68,784.0,14308.7087051802
2014-01-14,btcusd,823.17,816.0,836.99,802.3,4816.78362108003
2014-01-15,btcusd,816.0,842.111,850.25,811.25,7238.15698086007
2014-01-16,btcusd,842.101,812.48,847.68,812.48,3686.64958124
2014-01-17,btcusd,812.48,800.0,820.22,765.03,11514.7178664003
2014-01-18,btcusd,798.99,811.22,820.0,794.93,3987.64776987002
2014-01-19,btcusd,811.2,841.11,842.0,794.41,6661.72551215013
2014-01-20,btcusd,842.07,827.11,844.99,815.01,5520.23730462005
2014-01-21,btcusd,826.02,824.34,834.17,813.6,2891.50023991
2014-01-22,btcusd,824.89,818.0,826.5,803.1,2938.54753894001
2014-01-23,btcusd,817.99,811.01,823.0,802.52,2838.97961165
2014-01-24,btcusd,811.01,778.0,812.7689,767.23,11262.9423914602
2014-01-25,btcusd,778.13,805.4,817.0,774.38,4713.79803381002
2014-01-26,btcusd,806.81,815.0,836.7318,794.64,7513.57053368004
2014-01-27,btcusd,815.0,750.0,824.9999,726.5,15629.6818693602
2014-01-28,btcusd,748.123,784.0001,814.5,741.214,13647.5002643502
2014-01-29,btcusd,785.0,791.56,805.0,781.4417,3865.88167876003
2014-01-30,btcusd,792.69,801.5,812.65489,770.0,8205.38234448006
2014-01-31,btcusd,799.5,803.5,809.6746,793.0,3912.0445727
2014-02-01,btcusd,803.58,812.5211,829.0,801.0,4537.3743903
2014-02-02,btcusd,815.52,814.222,827.2,811.0,3149.53715899001
2014-02-03,btcusd,814.222,806.01,815.2,798.5,3446.69515272
2014-02-04,btcusd,806.01,802.69,814.4,795.2,3363.63331922
2014-02-05,btcusd,800.0,778.03,807.48,777.85,5215.28016818002
2014-02-06,btcusd,782.0,763.11,829.0,678.03,21114.51912813
2014-02-07,btcusd,763.99,702.0,764.0,620.0,42788.4246752395
2014-02-08,btcusd,702.0,680.49,723.97,667.0,11122.2565993101
2014-02-09,btcusd,680.49,689.0,728.89934978,666.53,12068.6993841901
2014-02-10,btcusd,686.11000001,686.8313,703.0,200.0,41511.8031212395
2014-02-11,btcusd,686.0,674.5,721.35,631.2,39535.0712279695
2014-02-12,btcusd,674.5,652.05,684.9,642.0,12849.0181041001
2014-02-13,btcusd,652.01,605.5,658.9899,603.43,17145.8786309402
2014-02-14,btcusd,605.6,668.0,710.0,535.0,53681.7151358789
2014-02-15,btcusd,668.51,651.92,670.99,633.3,10825.1136829301
2014-02-16,btcusd,654.78,621.0,670.9999,585.0,16745.7315129901
2014-02-17,btcusd,622.19,630.0,664.0,611.0,15689.9524364501
2014-02-18,btcusd,630.0,627.95,651.3,611.304999,8466.24614979013
2014-02-19,btcusd,627.95,621.75,636.85,617.89,4709.12040524005
2014-02-20,btcusd,624.0,561.2,629.0,561.0,25273.8288719095
2014-02-21,btcusd,561.4,580.0,588.48969696,530.0,28461.8455834397
2014-02-22,btcusd,580.99,608.7,619.0,562.0,14729.9748581702
2014-02-23,btcusd,610.26,607.15175,644.93,601.0,15800.3085712801
2014-02-24,btcusd,606.1111,535.9999,614.89,531.1,34116.3600953796
2014-02-25,btcusd,533.01,534.6,549.0,400.0,94547.0979939415
2014-02-26,btcusd,534.69,584.0,609.0,526.7501,37713.7310051495
2014-02-27,btcusd,586.49,583.89,601.2,568.75,12035.7957288197
2014-02-28,btcusd,582.01,554.25,591.18,545.0,15293.3423837901
2014-03-01,btcusd,552.26,568.75,577.25,540.2044,8617.72163751008
2014-03-02,btcusd,566.5,565.37191,572.24,555.161,3126.21859684001
2014-03-03,btcusd,566.0,680.98,719.25,563.0,50919.5416932901
2014-03-04,btcusd,680.98,672.0,703.85,658.5,25025.6081617195
2014-03-05,btcusd,672.59999999,669.61,678.9999,651.21,8381.3180000601
2014-03-06,btcusd,669.61,668.0,676.43,648.7,7057.99015509007
2014-03-07,btcusd,667.0,631.01,669.0,616.23,17234.6962823099
2014-03-08,btcusd,632.99999999,616.8001,639.999,600.6,10971.4374053301
2014-03-09,btcusd,616.9,638.5,654.999,610.25,8290.10866807006
2014-03-10,btcusd,638.52,626.9801,648.3,606.0,11575.1156731601
2014-03-11,btcusd,626.9801,634.01,641.9999,615.31,3634.08082000001
2014-03-12,btcusd,634.01,636.2296,654.0,631.0,7287.42468826008
2014-03-13,btcusd,636.10235,644.18,648.0,634.5001,3312.96067553003
2014-03-14,btcusd,643.1,627.98,645.0,623.5,5526.43539530001
2014-03-15,btcusd,628.89,635.45,639.8899,626.3,1735.62936143
2014-03-16,btcusd,635.45,633.0,638.0,628.5801,1902.57118506
2014-03-17,btcusd,632.0,623.8,632.5,619.2,3761.84368801999
2014-03-18,btcusd,623.8,615.5999,623.8,600.0,7736.26828485001
2014-03-19,btcusd,615.5999,609.0,622.2,605.9841,3436.66790192999
2014-03-20,btcusd,608.9841,586.5551,609.0,584.0,8100.06063610005
2014-03-21,btcusd,588.8294,570.9999,605.96,555.5,19202.2845534098
2014-03-22,btcusd,570.9798,563.0,574.24,550.09,6731.31574218003
2014-03-23,btcusd,563.0,558.0,571.0,555.0,4833.22337384004
2014-03-24,btcusd,557.8884,585.6587,590.0,550.5,9275.28768732024
2014-03-25,btcusd,584.9899,583.9899,586.0,568.55,4902.03403056013
2014-03-26,btcusd,583.89,576.6,593.25,566.51,7649.23071354016
2014-03-27,btcusd,577.9999,474.0,579.4799,465.0,41023.5516603098
2014-03-28,btcusd,475.0,502.25,533.36,470.0,35985.2142117994
2014-03-29,btcusd,502.4996,492.4398,507.99,485.45,4635.16685558006
2014-03-30,btcusd,490.01,460.9999,491.9999,436.2,26151.1301347196
2014-03-31,btcusd,460.6,456.9899,488.0,436.1,22069.33696584
2014-04-01,btcusd,456.3,479.9181,513.9,453.4,19999.3085121601
2014-04-02,btcusd,477.53,437.2203,496.2,431.2,29119.1046175998
2014-04-03,btcusd,436.5301,447.9999,463.0,415.46,24590.4064977798
2014-04-04,btcusd,447.1161,447.0211,458.5899,430.2,10562.8572687501
2014-04-05,btcusd,448.001,463.99,464.5,444.395,4573.75741605006
2014-04-06,btcusd,463.5,458.78,465.9998,450.0,2952.40660615005
2014-04-07,btcusd,458.6,446.58,461.0,445.05,6147.47600223009
2014-04-08,btcusd,445.222,452.3849,458.8,445.01,4860.84550476002
2014-04-09,btcusd,452.3849,442.45,455.13590891,440.0536,4167.09060672002
2014-04-10,btcusd,442.4499,364.2,442.8689,357.0,45002.9695495494
2014-04-11,btcusd,364.04989,421.0,433.6,340.0,38705.5569185101
2014-04-12,btcusd,421.999,423.3,441.0,413.0741,10732.2408288301
2014-04-13,btcusd,422.2001,418.0,428.2,400.0,10265.6836892001
2014-04-14,btcusd,417.6,460.0,478.0,406.4,29763.3975050402
2014-04-15,btcusd,460.0,519.0,526.995,452.0,24214.5733178003
2014-04-16,btcusd,519.11,531.25,547.0,495.0,29218.8507665894
2014-04-17,btcusd,531.25,498.10000001,535.7499,486.1,18285.63177066
2014-04-18,btcusd,499.0,480.044,503.9999,474.25,9730.4747878101
2014-04-19,btcusd,480.044,504.999999,513.9899,473.83,9063.48907105015
2014-04-20,btcusd,504.99999,500.9501,517.995,492.2,4760.82881705001
2014-04-21,btcusd,501.3551,495.39,515.646,485.0,8179.33326468007
